Category,Question
Markets & Movers,"What were the closing prices and changes for the **Dow Jones, S&P 500**, and **Nasdaq**?"
Markets & Movers,"What are the current prices and changes for **Gold, Crude oil**, and **Bitcoin**?"
Markets & Movers,"Which of my holdings was the **Top Mover** by dollar gain/loss?"
Markets & Movers,"Which holding had the largest **percentage loss** among the bottom movers?"
Markets & Movers,"How do I look up a **Quote** for a stock?"
Markets & Movers,"Which stocks **Hit a 52-week high or low** today?"
Markets & Movers,"What are the **Most active** stocks or largest gainers/losers in the Market Movers section?"
Portfolio Events,"Are there any upcoming **Earnings dates** for my holdings?"
Portfolio Events,"Which symbol has an upcoming **Ex-dividend date**?"
Portfolio Events,"How many portfolio events are in the next 14 days?"
Asset Allocation,"What is the percentage of my portfolio in **Domestic Stock** and **Foreign Stock**?"
Asset Allocation,"How much money is allocated to **Bonds** and **Short Term** investments?"
Asset Allocation,"What is included in the **Other** or **Unknown** allocation?"
Asset Allocation,"How do I switch the asset allocation display from **Percentages** to **Dollars**?"
Geographic Exposure,"What is my portfolio's exposure to regions like **North America** and **Europe Developed**?"
Risk & Ratings,"What percentage of my funds have an **Overall Morningstar Rating** of 5 out of 5?"
Risk & Ratings,"What is the breakdown of my holdings by **Investment Style** (e.g., Large Value, Medium Blend)?"
Risk & Ratings,"Why are **risk measurements** only available for accounts with at least 3 years of data?"
Risk & Ratings,"How do I view **Analyst ratings**?"
Disclosures,"What is the disclosure about the **not priced today icon**?"
Disclosures,"What is the risk disclosure for **Options trading** or **Fidelity Crypto**?"
Disclosures,"Does Fidelity give **tax advice**?"
Disclosures,"Where are the **Terms of Use** and other **Additional Important Information**?"
Disclosures,"What is the warning about **money market funds**?"
Disclosures,"What is the disclosure about **wash sale adjustments**?"
