Category,Question
General Facts & Disclosures,"What is the entity that charters Fidelity Digital Asset Services, LLC (NY State Department of Financial Services)?"
General Facts & Disclosures,"What is the ticker symbol for the **S&P 500** index?"
General Facts & Disclosures,"What is the ticker symbol for the **Dow Jones** index?"
General Facts & Disclosures,"What is the ticker symbol for the **Nasdaq** index?"
General Facts & Disclosures,"What is the ticker symbol for the **US 10 year** treasury?"
General Facts & Disclosures,"How many more links are available under the **NetBenefits®** section?"
General Facts & Disclosures,"What is the total number of slices in the **Asset Allocation** pie chart?"
General Facts & Disclosures,"What is the full name of the company whose plan is being viewed (FMR)?"
General Facts & Disclosures,"What is the **closing value** of the Dow Jones index?"
General Facts & Disclosures,"What is the **percentage change** of the S&P 500 index today?"
General Facts & Disclosures,"What is the **closing value** of the Nasdaq index?"
General Facts & Disclosures,"What is the **percentage change** of the US 10 year treasury?"
General Facts & Disclosures,"What is the **percentage change** of Bitcoin today?"
General Facts & Disclosures,"What is the **percentage change** of Gold today?"
General Facts & Disclosures,"What is the **percentage change** of Crude oil today?"
