Category,Question
Disclosures,"What is the dollar gain/loss for the Fidelity RHRP account today?"
Disclosures,"What is the percentage gain/loss for the Fidelity RHRP account today?"
Disclosures,"What is the dollar gain/loss for the Cash Management account today?"
Disclosures,"What is the percentage gain/loss for the Cash Management account today?"
Disclosures,"What is the dollar gain/loss for the Fidelity Go account today?"
Disclosures,"What is the percentage gain/loss for the Fidelity Go account today?"
Disclosures,"What is the dollar gain/loss for the HSA account today?"
Disclosures,"What is the percentage gain/loss for the HSA account today?"
Disclosures,"What is the dollar gain/loss for the FMR Profit Sharing account today?"
Disclosures,"What is the percentage gain/loss for the FMR Profit Sharing account today?"
Disclosures,"What is the latest As of date for the Bank of America - Credit Card balance?"
Disclosures,"What is the latest As of date for the Bank of America - Bank-Bank of America C balance?"
Disclosures,"What is the latest As of date for the Bank of America - Bank-Money Market Savi balance?"
Disclosures,"What is the balance of the Bank of America - Bank-Bank of America C account?"
Disclosures,"What is the balance of the Bank of America - Bank-Money Market Savi account?"
Disclosures,"What is the balance of the JetBlue credit card?"
Disclosures,"What is the balance of the Chase - Credit Card?"
Disclosures,"What is the total balance of Credit cards?"
Disclosures,"What is the total balance of Non-Fidelity accounts?"
Disclosures,"Is the Total Realized Gain/Loss positive or negative?"
Disclosures,"Is the amount for Ordinary Dividends larger or smaller than Interest Income?"
Disclosures,"What is the status of the Capital Gain Distributions amount (zero or non-zero)?"
Disclosures,"Does Reportable Bond Premium information include data for closed lots only?"
Disclosures,"What is the total balance of the Investment account group?"
Disclosures,"What is the name of the entity that provides recordkeeping for the company's equity compensation plan?"
Disclosures,"Is the information presented only for persons in the U.S.?"
Disclosures,"Are tax laws and regulations subject to change?"
Disclosures,"What type of company is Fidelity Digital Asset Services, LLC chartered as?"
Disclosures,"What is the total balance of the Professionally managed account group?"
Disclosures,"What is the total balance of the Health savings account group?"
Disclosures,"What is the total balance of the Spend & Save account group?"
Disclosures,"What is the total balance of the Retirement account group?"
Disclosures,"What is the total Day change dollar amount for the All accounts group?"
Disclosures,"What is the total Day change dollar amount for the Investment account group?"
Disclosures,"What is the total Day change dollar amount for the Retirement account group?"
Disclosures,"What is the total Day change dollar amount for the Professionally managed account group?"
Disclosures,"What is the total Day change dollar amount for the Spend & Save account group?"
Disclosures,"What is the total Day change dollar amount for the Health savings account group?"
