Category,Question
Data Columns,What is the Today's gain/loss % for all accounts?
Data Columns,What is the Total gain/loss $ for the Brokerage account?
Data Columns,What is the Total gain/loss % for GOOGL?
Data Columns,What was the Last price change for MSFT?
Data Columns,Why are some mutual funds' price changes zero?
Disclosures & Risk,Disclaimer for Options trading?
Disclosures & Risk,Does Fidelity give tax advice?
Disclosures & Risk,Does Fidelity guarantee the price of my money market fund?
Disclosures & Risk,Does Fidelity offer legal or tax advice?
Disclosures & Risk,How does Fidelity handle wash sale adjustments?
Disclosures & Risk,How does the Planning & Guidance Center's Retirement Analysis work?
Disclosures & Risk,Information on money market funds?
Disclosures & Risk,Risk for mutual funds?
Disclosures & Risk,SIPC protection info?
Disclosures & Risk,What about the FPWA and Strategic Advisers merger?
Disclosures & Risk,What are the risks associated with bonds and foreign markets?
Disclosures & Risk,What are the risks of Options trading?
Disclosures & Risk,What does the Distribution Indicator Icon mean?
Disclosures & Risk,What does the mutual fund/ETF prospectus warning say?
Disclosures & Risk,What does the not priced today icon disclosure mean?
Disclosures & Risk,What is a wash sale?
Disclosures & Risk,What is the daily reset time for Today's gain/loss?
Disclosures & Risk,What is the disclaimer about past performance?
Disclosures & Risk,What is the disclosure about FPWA and Strategic Advisers?
Disclosures & Risk,What is the disclosure about the FPWA and Strategic Advisers merger?
Disclosures & Risk,What is the disclosure about the not priced today icon?
Disclosures & Risk,What is the disclosure regarding money weighted returns and my statement?
Disclosures & Risk,What is the money market fund risk warning?
Disclosures & Risk,What is the risk disclosure for Fidelity Crypto?
Disclosures & Risk,What is the stock plan services disclosure?
Disclosures & Risk,What is the tax advice disclosure?
Disclosures & Risk,What is the warning about money market funds?
Disclosures & Risk,What is the warning about mutual fund and ETF prospectuses?
Disclosures & Risk,Where are the Terms of Use for this data?
Disclosures & Risk,Where are the Terms of Use?
Disclosures & Risk,Where can I find Additional important information?
Disclosures & Risk,Where can I find the Characteristics and Risks of Standardized Options?
Disclosures & Risk,Where can I find the Fidelity Stock Plan Services disclosure?
Disclosures & Risk,Where can I read the full Terms of Use?
Disclosures & Risk,Where is the link for Additional Important Information?
Disclosures & Risk,Who manages the account with the Managed Account Indicator Icon?
Disclosures & Risk,Who provides investment advisory services?
Disclosures & Risk,Why are some funds priced only once a day?
Geographic Exposure,How do I see regions outside of the Top 5?
Geographic Exposure,How much is invested in Japan and the United Kingdom?
Geographic Exposure,Is the geographic exposure only for stocks and bonds?
Geographic Exposure,What is my exposure to Asia Emerging?
Geographic Exposure,What is my exposure to Europe Developed?
Geographic Exposure,What is the aggregate value the percentages are based on?
Geographic Exposure,What percentage of my assets are exposed to North America?
Geographic Exposure,Where can I get help modal for Geographic exposure?
Geographic Exposure,Which accounts are not included in the geographic exposure?
Goals & Planning,Add security to account?
Goals & Planning,Am I On Target for Retirement?
Goals & Planning,Are there other goals besides Retirement?
Goals & Planning,Current balance towards my Retirement goal?
Goals & Planning,How do I view my net worth?
Goals & Planning,How to meet with the coaching team?
Goals & Planning,Learn about the hypothetical assumptions?
Goals & Planning,Retirement target year?
Goals & Planning,What are the steps to Open an IRA?
Goals & Planning,What is NetBenefits?
HSA Holdings,How did my ALB stock perform today?
HSA Holdings,How much of the HSA is invested in AAPL?
HSA Holdings,Is the IVV in the HSA the same as the Brokerage one?
HSA Holdings,What is the 52-week high for ALB?
HSA Holdings,What is the Today's gain/loss % for GFS?
HSA Holdings,What is the balance of Cash FDIC-INSURED DEPOSIT SWEEP?
HSA Holdings,What is the current value of my FTEC holding?
HSA Holdings,What is the total gain on WMT?
HSA Holdings,What's the total gain/loss for the whole HSA account?
Investment Income Section,Can I see the investment income by month?
Investment Income Section,How are Investment activity minus fees calculated?
Investment Income Section,How much did I receive in Dividends?
Investment Income Section,How much did I receive in Interest?
Investment Income Section,What is the Average total income per period?
Investment Income Section,What is the difference between Deposits and Withdrawals?
Investment Income Section,What is the total amount of Investment income?
Investment Income Section,What time period does the Investment income section cover?
Investment Income Section,Which accounts are not included in the Investment income view?
Market Movers,Find my All positions page.
Market Movers,How did GME perform today?
Market Movers,How to see more market movers?
Market Movers,How to see my entire watch list?
Market Movers,Is ZYBT a stock or ETF?
Market Movers,Is the top/bottom list only based on today's price action?
Market Movers,Largest percentage loser in my portfolio (DNN)?
Market Movers,Market Movers data time stamp?
Market Movers,Most active stocks today?
Market Movers,Performance of FPADX?
Market Movers,Top gainer by volume (APLT)?
Market Movers,Volume for BIAF?
Market Movers,What are 'Customer orders'?
Market Movers,What are the top 6 biggest movers?
Market Movers,What is the volume for MRM?
Market Movers,What's the last price for ALB?
Market Movers,Which holding was my biggest dollar gainer (GFS)?
Market Movers,Which stock was the biggest loser in this section (SDM)?
Market Movers,Why is NMG listed as a bottom mover?
Market Movers,Why is the % Change so large?
Markets & Indices,Are the US markets currently open or closed?
Markets & Indices,Bitcoin price and change?
Markets & Indices,Gold price?
Markets & Indices,How to see All markets?
Markets & Indices,Nasdaq closing value?
Markets & Indices,Price of Crude oil?
Markets & Indices,S&P 500 percentage change today?
Markets & Indices,US 10 year price?
Markets & Indices,What did the Dow Jones close at?
Markets & Indices,Why are Crude oil and Gold prices delayed?
Navigation & Security,Can I customize the Summary view?
Navigation & Security,How do I LOG OUT?
Navigation & Security,How do I Reassign the lots for an unsettled trade?
Navigation & Security,How do I Track a rollover or transfer from another firm?
Navigation & Security,How do I View orders for new issue bonds?
Navigation & Security,How do I get to the Documents tab?
Navigation & Security,How do I get to the Planning tab?
Navigation & Security,How do I get to the Positions tab?
Navigation & Security,How do I use the FIDELITY ASSISTANT?
Navigation & Security,How to access Accounts & Trade menu?
Navigation & Security,How to access the full Balances page?
Navigation & Security,How to find customer service?
Navigation & Security,How to find my tax Documents?
Navigation & Security,How to find the Fidelity.com Home link?
Navigation & Security,How to get to Activity & Orders?
Navigation & Security,How to link a Non-Fidelity account?
Navigation & Security,How to view cost basis information?
Navigation & Security,What does the 'not priced today icon' mean?
Navigation & Security,What is the Fidelity Trader+ Web Dashboard?
Navigation & Security,What is the More (4) menu?
Navigation & Security,What is the difference between the Summary tab and this one?
Navigation & Security,What links are under the More (4) menu?
Navigation & Security,What's in the Planning & Advice menu?
Navigation & Security,Where are my account Balances?
Navigation & Security,Where can I Status bid requests for bonds and CDs?
Navigation & Security,Where can I see activity from over 5 years ago?
Navigation & Security,Where is my PROFILE?
Navigation & Security,Where is my one unread Message?
Navigation & Security,Where is the Commissions & Price Improvement Summary?
Navigation & Security,Where is the Planning tab?
Navigation & Security,Where is the link to CUSTOMER SERVICE?
Navigation & Security,Where's the Documents tab?
Pending Activity,How do I Check for transfers?
Pending Activity,How do I know if my recent deposit is pending?
Pending Activity,How long does a transfer typically stay in the pending table?
Pending Activity,Where is the table for in progress transfers and deposits?
Pending Activity,Why are in progress transfers not displayed?
Performance & Returns,"Balance on June 17, 2025?"
Performance & Returns,"Can I see a breakdown of the $310,798.27 gain?"
Performance & Returns,Chart range of dates?
Performance & Returns,Find most recent month-end performance.
Performance & Returns,How did I perform against the Bloomberg U.S. Aggregate Bond Index?
Performance & Returns,How did my return compare to the S&P 500® Index?
Performance & Returns,How is the Net advisory fee calculated?
Performance & Returns,How much is my Investment income?
Performance & Returns,How to read the past performance disclaimer?
Performance & Returns,Performance for 1M?
Performance & Returns,Show me 3Y performance.
Performance & Returns,What are my Net deposits and withdrawals?
Performance & Returns,What does MSCI ACWI ex USA (Net MA Tax) represent?
Performance & Returns,What does the chart's Y-axis represent?
Performance & Returns,What is my Time-weighted rate of return (pre-tax)?
Performance & Returns,What is my total Balance?
Performance & Returns,What is the Invested amount?
Performance & Returns,What is the Total return dollar amount?
Performance & Returns,What is the Total return percentage?
Performance & Returns,What is the difference between Time-weighted and Money-weighted returns?
Performance & Returns,What is the dollar amount of my Day change for all accounts?
Performance & Returns,What is the purpose of the Total returns section?
Performance & Returns,What is the return for the Dow Jones U.S. Total Stock Market Index?
Performance & Returns,What is the total Cash balance?
Performance & Returns,Where can I see my cost basis?
Performance & Returns,Where's the full performance view?
Performance & Returns,Which accounts are not included in the total returns?
Performance & Returns,Why are the returns shown as of month end?
Performance & Returns,YTD performance?
Portfolio Events & Activity,Are there any Earnings dates coming up?
Portfolio Events & Activity,Are there any transactions for the HSA account in the past 30 days?
Portfolio Events & Activity,Check for any proxy votes.
Portfolio Events & Activity,Did the exchanges settle yet?
Portfolio Events & Activity,Events for Maturing bonds or CDs?
Portfolio Events & Activity,How do I get more detail on those FMR Exchanges?
Portfolio Events & Activity,How many events are in the next 14 days?
Portfolio Events & Activity,Show activity for the Fidelity RHRP account.
Portfolio Events & Activity,Was the total activity for Fidelity Go positive or negative on Sep-15-2025?
Portfolio Events & Activity,Were the exchanges mandatory or initiated by me?
Portfolio Events & Activity,What about activity for my Cash Management account?
Portfolio Events & Activity,What are the 6 symbols that hit a high?
Portfolio Events & Activity,What does '1 events' mean?
Portfolio Events & Activity,What is the Fidelity Managed Account Tooltip?
Portfolio Events & Activity,What is the significance of the varying dollar amounts in the exchanges?
Portfolio Events & Activity,What type of transactions are those Exchanges in FMR Profit Sharing?
Portfolio Events & Activity,What was the net amount of all exchanges on Sep-11-2025?
Portfolio Events & Activity,When was the last time the Fidelity Go account had activity before Sep-15-2025?
Portfolio Events & Activity,Where are my news headlines?
Portfolio Events & Activity,Which stock Hit a 52-week low (TGT)?
Portfolio Events & Activity,Which stock has an Ex-dividend date (JPM)?
Portfolio Events & Activity,Which stocks Hit a 52-week high (NVDA)?
Portfolio Events & Activity,Why am I selling FLAPX and FLXSX and buying others?
Portfolio Events & Activity,Why are there 20+ exchange transactions on the same day?
Portfolio Events & Activity,Why did my Fidelity Go account have so many buys and sells on Sep-15-2025?
Professionally Managed,How much is in Cash HELD IN MONEY MARKET?
Professionally Managed,Is FLAPX a large or mid-cap fund?
Professionally Managed,What are the full names of the Fidelity Flex funds?
Professionally Managed,What does the shield icon next to Fidelity Go mean?
Professionally Managed,What is the current value of FITFX?
Ratings & Analysis,How do I switch the analysis from Style to Sector?
Ratings & Analysis,How do I view Analyst ratings instead of fund ratings?
Ratings & Analysis,How do I view Bond quality ratings?
Ratings & Analysis,How much of my account value is reflected in the ratings chart?
Ratings & Analysis,What date are the Morningstar fund ratings from?
Ratings & Analysis,What is the Large blend analysis?
Ratings & Analysis,What percentage of funds are Unrated?
Ratings & Analysis,What percentage of my funds have an Overall Morningstar Rating™ of 5 out of 5?
Ratings & Analysis,What percentage of my holdings are classified as Medium Value?
Ratings & Analysis,What time periods are available for Morningstar Ratings in the detail view?
Retirement Holdings (FMR),How much money do I have in the FID EMRG MKTS IDX (FPADX)?
Retirement Holdings (FMR),Is FSPGX a large cap or small cap fund?
Retirement Holdings (FMR),What is the full name of the FXAIX fund?
Retirement Holdings (FMR),What is the largest holding by % of account in this retirement plan?
Retirement Holdings (FMR),What's the performance of FLCNX today?
Retirement Holdings (FMR),What's the total percentage gain for FSKAX?
Retirement Holdings (FMR),What's the total value of all my mutual funds in this account?
Retirement Holdings (FMR),Why are there so many Index Funds?
Retirement Holdings (RHRP),What is the $0.00$ value for the RHRP account total?
Retirement Holdings (RHRP),Why is the RHRP INT BEARING position listed as Not Priced Today?
Risk Measurements,How do I get my risk measurements to display?
Risk Measurements,What is considered a low or high risk range?
Risk Measurements,What time ranges are used for risk measurements?
Risk Measurements,Where can I find the help modal for Risk measurements?
Risk Measurements,Why are risk measurements only available for accounts with at least 3 years of data?
Time Horizon & Filtering,Can I view performance for a custom date range?
Time Horizon & Filtering,How do I change the performance view to 3 months (3M)?
Time Horizon & Filtering,How do I compare my returns against different indices?
Time Horizon & Filtering,How do I view performance only for my Retirement accounts?
Time Horizon & Filtering,How to go back to viewing All accounts?
Time Horizon & Filtering,Show me my Year-to-Date (YTD) return.
Time Horizon & Filtering,Show performance for the HSA account only.
Time Horizon & Filtering,What does Options under the time selector do?
Time Horizon & Filtering,What does the ALL time horizon represent?
Time Horizon & Filtering,Where can I see performance for 5 years (5Y)?
Trading Profile & Actions,How do I Open an account?
Trading Profile & Actions,How do I view my Commissions schedule?
Trading Profile & Actions,How to Pay Bills from the Balances tab?
Trading Profile & Actions,How to go to the main Trading page?
Trading Profile & Actions,How to initiate a Transfer from here?
Trading Profile & Actions,Is there an option to trade directly from the balances list?
Trading Profile & Actions,What are the available actions from this Balances page?
Trading Profile & Actions,What are the different Restrictions on my Trading Profile?
Trading Profile & Actions,Where can I get a Quote for a symbol?
Trading Profile & Actions,Where is the link to Messages (1)?
Transaction Details,How many shares of FLAPX did I sell on Sep-15-2025?
Transaction Details,Is the amount the gross or net value?
Transaction Details,"What do the columns Date, Account, Description, and Amount mean?"
Transaction Details,What does (Cash) next to the amount mean?
Transaction Details,What does YOU SOLD mean in the description?
Transaction Details,What is FUENX?
Transaction Details,What is PROSPECTUS UNDER SEPARATE COVER?
Transaction Details,What is VSP000101?
Transaction Details,What is the full name of the fund FITFX?
Transaction Details,What is the full name of the fund FLAPX?
Transaction Details,What time did the transactions on Sep-15-2025 happen?
Transaction Details,What's the full name of FDFIX?
Transaction Details,Where can I find the transaction ID?
Transaction Details,Why are some amounts positive (+) and some negative (-)?
Transaction Details,Why are there so many Exchanges on Sep-11-2025?
Transaction Details,Why does the Description say Exchanges for FMR Profit Sharing?
Troubleshooting & Other,Can I export this activity data?
Troubleshooting & Other,Do pending debit card purchases show up here?
Troubleshooting & Other,How can I check my Messages (1)?
Troubleshooting & Other,How can I get more information about a specific Description?
Troubleshooting & Other,How do I LOG OUT?
Troubleshooting & Other,How do I get a copy of my trade confirmation?
Troubleshooting & Other,How to Pay Bills from this screen?
Troubleshooting & Other,How to access the Planning & Advice section?
Troubleshooting & Other,"I don't see an activity I know happened, what should I do?"
Troubleshooting & Other,Is there a quick way to Trade from this page?
Troubleshooting & Other,What is the exact definition of a Transfer on this page?
Troubleshooting & Other,What is the link to my Profile?
Troubleshooting & Other,What is the phone number for CUSTOMER SERVICE?
Troubleshooting & Other,Where are my Buy and Sell transactions for stocks?
Troubleshooting & Other,Where can I access the Fidelity Assistant?
Troubleshooting & Other,Where can I learn about Why Fidelity?
Troubleshooting & Other,Where do I go to initiate a Transfer?
Troubleshooting & Other,Where is the Quote tool?
Troubleshooting & Other,Why is the page slow to load activity?
Workplace Plan Notes,Does the 3-year limit on workplace performance apply to all plans?
Workplace Plan Notes,Where do I go to view and make changes to investment elections (NetBenefits.com)?
Workplace Plan Notes,Why is Daily workplace performance not available?
Workplace Plan Notes,Why is the investment return dollar amount not available for workplace plans?
Workplace Plan Notes,Why is the performance for workplace plans only available for the prior month?
